dataset,participant,task,step_size,ablation,landmarks,RMSD,mean_motion,std_motion,mean_T2,std_T2,warnings,UCL
UCF Sports Action,S05,Walk-Front.csv,4,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.44071602304734836,1.3422542394514558,0.44071602304734836,4.907020844034507,45.6339439845429,0,
UCF Sports Action,S05,Walk-Front.csv,4,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.2990334716208272,1.0453004351149455,0.2990334716208272,14.378281275632185,28.610923951570413,0,
UCF Sports Action,S05,Swing-Bench.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.8306795671474605,4.195154243606484,1.8306795671474605,32.64246819085733,83.80287929220125,0,
UCF Sports Action,S05,Swing-Bench.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.4168856163892416,0.8204690613546924,0.4168856163892416,23.510204081728954,8.306715593562272,0,92.36245267115562
UCF Sports Action,S05,Swing-Bench.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.5741167411918738,1.2017727914991319,0.5741167411918738,35.26530612279693,6.0038912182364434,0,319.1577481771845
UCF Sports Action,S05,Swing-Bench.csv,1,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.1178624059051965,1.7013833365327866,1.1178624059051965,29.38775510187037,7.671746199148747,0,160.17764083682852
UCF Sports Action,S05,Swing-Bench.csv,2,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",2.66744723942779,6.3781823726513664,2.66744723942779,92.40545985041537,424.8725562906698,0,
UCF Sports Action,S05,Swing-Bench.csv,2,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.7182317852973706,1.2608856340857886,0.7182317852973706,23.500000000134435,6.582281275106628,0,95.17913096315789
UCF Sports Action,S05,Swing-Bench.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",1.0166014641914782,1.8788845850761973,1.0166014641914782,35.25000000052422,4.622102854002224,0,351.13355959753466
UCF Sports Action,S05,Swing-Bench.csv,2,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.349499576808731,2.446057608365359,1.349499576808731,29.375000000938815,5.310412489650937,0,168.49829785222263
UCF Sports Action,S05,Swing-Bench.csv,4,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",4.650128737338429,9.835605018169652,4.650128737338429,176.54825805311552,375.74528452289695,0,
UCF Sports Action,S05,Swing-Bench.csv,4,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",1.2141118681226595,1.996040986440859,1.2141118681226595,23.47826086912909,5.98878818281239,0,101.7366081692938
UCF Sports Action,S05,Swing-Bench.csv,4,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",1.7674353271672687,2.9987885928373412,1.7674353271672687,35.21739130448175,3.55389916767803,0,442.5835793279833
UCF Sports Action,S05,Swing-Bench.csv,4,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.7663862946800004,3.6194323765274588,1.7663862946800004,29.347826088493388,3.824945169166098,0,189.12935673711334
UCF Sports Action,S05,Kicking-Front.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",3.7439029202645795,3.387448001457448,3.7439029202645795,7.361795687009858,27.69370378705534,0,
UCF Sports Action,S05,Kicking-Front.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.9552462368386314,1.154367748291902,0.9552462368386314,24.838352023491552,30.40449685598379,0,
UCF Sports Action,S05,Kicking-Front.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",1.480852217163381,1.5290458677411607,1.480852217163381,21.785444124051622,21.241233845175092,0,
UCF Sports Action,S05,Kicking-Front.csv,1,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.0441961452714674,1.0919887665222798,1.0441961452714674,20.1209415440187,14.299514227776275,0,
UCF Sports Action,S05,Kicking-Front.csv,2,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",3.5475564737074277,4.371620271132061,3.5475564737074277,35.32502688062951,71.56408742759842,0,
UCF Sports Action,S05,Kicking-Front.csv,2,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.9484119208104332,1.4839971937768854,0.9484119208104332,29.493241749176597,42.863367328057244,0,
UCF Sports Action,S05,Kicking-Front.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",1.4295829649188014,1.948996062218103,1.4295829649188014,17.664957642246396,21.822133555398437,0,
UCF Sports Action,S05,Kicking-Front.csv,2,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.9881966014348988,1.4938982489302313,0.9881966014348988,39.45626689072632,365.66427386889063,0,
UCF Sports Action,S05,Kicking-Front.csv,4,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",3.7829384792045584,5.182002076816748,3.7829384792045584,24.47639063059667,44.169062516518,0,
UCF Sports Action,S05,Kicking-Front.csv,4,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",1.0924990966625308,1.642170132908356,1.0924990966625308,16.32368343706893,1.5519110016029989,0,
UCF Sports Action,S05,Kicking-Front.csv,4,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",1.58838234107975,2.173342478331097,1.58838234107975,40.00669346902035,48.71333475490192,0,
UCF Sports Action,S05,Kicking-Front.csv,4,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.0283086112388422,1.9156486754143423,1.0283086112388422,15.507036393116412,21.360684524640416,0,
UCF Sports Action,S05,Riding-Horse.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",5.5934556275518945,5.9173207396265335,5.5934556275518945,21.30317823919444,13.725835139938612,0,
UCF Sports Action,S05,Riding-Horse.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",1.34094141960148,1.479184174053187,1.34094141960148,24.627387337793884,8.205751185869078,0,
UCF Sports Action,S05,Riding-Horse.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",2.0307275180789803,2.1636488683075963,2.0307275180789803,20.93298803467729,14.424865565318504,0,
UCF Sports Action,S05,Riding-Horse.csv,1,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.6300858272463221,1.7597471110532534,1.6300858272463221,22.682612048077427,6.182207709822111,0,
UCF Sports Action,S05,Riding-Horse.csv,2,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",4.543807561639287,5.906798644475884,4.543807561639287,6.534646591837332,76.37432102872559,0,
UCF Sports Action,S05,Riding-Horse.csv,2,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",1.1072441538407516,1.3499181874657473,1.1072441538407516,20.80859657194899,1.93892266170339,0,
UCF Sports Action,S05,Riding-Horse.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",1.64274024195511,1.9735069736457211,1.64274024195511,6.543112905450459,55.07138397868716,0,
UCF Sports Action,S05,Riding-Horse.csv,4,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",5.283806378086702,8.620688431948256,5.283806378086702,30.371098421108957,40.31000523584919,0,
UCF Sports Action,S05,Riding-Horse.csv,4,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",1.3027559686215462,1.9729178757386159,1.3027559686215462,14.958320273951182,29.320004389921785,0,
UCF Sports Action,S05,Riding-Horse.csv,4,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",1.9699358670994185,2.9238488958705484,1.9699358670994185,37.72894557449153,34.090165388299944,0,
UCF Sports Action,S05,Riding-Horse.csv,4,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.4084651281648581,2.5824161647570385,1.4084651281648581,22.851011278654646,15.109353995299017,0,
