dataset,participant,task,step_size,ablation,landmarks,RMSD,mean_motion,std_motion,mean_T2,std_T2,warnings,UCL
Near Duplicate,S05,Slicing.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",2.1849763992218247,3.196297217210346,2.1849763992218247,98.90589362657505,59.46362995887338,164,137.8711414136034
Near Duplicate,S05,Slicing.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.568003157822697,0.7361446058188978,0.568003157822697,23.977186311786674,20.917004263757576,159,37.52638376854937
Near Duplicate,S05,Slicing.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.7752931593630865,1.024083539993091,0.7752931593630865,35.96577946762959,26.504395216167005,167,53.24627038916188
Near Duplicate,S05,Slicing.csv,1,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.7118908532342807,1.20853379145493,0.7118908532342807,29.971482889725255,23.957537778309508,168,45.40517441423058
Near Duplicate,S05,Slicing.csv,2,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",2.120747593067211,3.4365970819853033,2.120747593067211,98.90580406806177,56.88444260330568,160,137.88668185440596
Near Duplicate,S05,Slicing.csv,2,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.554261575731209,0.7922953657646341,0.554261575731209,23.97716460513231,19.84839821743004,127,37.527471648729254
Near Duplicate,S05,Slicing.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.7546847704471309,1.1047427072380045,0.7546847704471309,35.96574690759873,24.62904799606825,149,53.24849894123838
Near Duplicate,S05,Slicing.csv,2,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.7056549814430945,1.2760950352329121,0.7056549814430945,29.971455756412492,22.8913565431178,159,45.40678236222983
Near Duplicate,S05,Slicing.csv,4,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",2.1665050530332333,3.438994016086568,2.1665050530332333,98.90562452596124,57.47553925285906,156,137.91786186718772
Near Duplicate,S05,Slicing.csv,4,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.5793577551497822,0.7978661333890529,0.5793577551497822,23.977121067698178,19.29463268910237,143,37.5296538108822
Near Duplicate,S05,Slicing.csv,4,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.787883695938672,1.1092030745216466,0.787883695938672,35.96568160149922,24.456022305224156,151,53.252969327963406
Near Duplicate,S05,Slicing.csv,4,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.7000591614940123,1.2765016192464291,0.7000591614940123,29.97140133463656,23.3034417128789,160,45.4100077810189
Near Duplicate,S05,Chopping.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.6626971362870882,2.6201323281990216,1.6626971362870882,98.82258068437235,52.487333710462046,79,153.96319737670973
Near Duplicate,S05,Chopping.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.4831105897621768,0.6012533713528516,0.4831105897621768,23.956989247346893,21.55649736563426,97,38.564994490584574
Near Duplicate,S05,Chopping.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.6096630566365094,0.7987082124496776,0.6096630566365094,35.93548387100446,26.419133337627848,101,55.39958427385741
Near Duplicate,S05,Chopping.csv,1,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.6306885603261725,1.1515089365052835,0.6306885603261725,29.946236559164788,20.780042070238817,74,46.94949163351215
Near Duplicate,S05,Chopping.csv,2,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.7544549409343007,2.9592217066585085,1.7544549409343007,98.82226238099373,48.726936204339076,72,154.03169175186568
Near Duplicate,S05,Chopping.csv,2,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.5219512933905531,0.6661270698794833,0.5219512933905531,23.956912028709358,20.331899994749406,80,38.56906932159694
Near Duplicate,S05,Chopping.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.6583179390013657,0.8894910882941611,0.6583179390013657,35.93536804310024,24.679306443491697,85,55.40813486798218
Near Duplicate,S05,Chopping.csv,2,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.6590940199960131,1.2508638307087785,0.6590940199960131,29.94614003589912,19.11703877408407,74,46.95558694441881
Near Duplicate,S05,Chopping.csv,4,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.672679703218721,2.9279549677671475,1.672679703218721,98.8216214040837,48.919291751253304,72,154.16959976500578
