,dataset,participant,task,step_size,ablation,landmarks,RMSD,mean_motion,std_motion,mean_T2,std_T2,warnings,UCL,task_code,Timestamp,Participant Number (Experimenter Only),"Kind of Experiment  (SUI, LGP, etc.) (Experimenter Only)",Mental Demand ,Physical Demand ,Temporal Demand ,Performance,Effort,Frustration ,average
18,Assembly,S02,SUI_posture.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.219907268,0.186082935,0.219907268,35.95936795,48.20941169,179,53.68855905,SUI,2023/07/26 2:40:39 PM MDT,S02,SUI,40,30,10,10,20,10,20
19,Assembly,S02,SUI_posture.csv,2,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.035460081,0.049066477,0.035460081,29.96613995,34.82912412,161,45.72390017,SUI,2023/07/26 2:40:39 PM MDT,S02,SUI,40,30,10,10,20,10,20
20,Assembly,S02,SUI_posture.csv,4,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.578279003,0.613021921,0.578279003,98.88800902,66.14540297,182,141.044062,SUI,2023/07/26 2:40:39 PM MDT,S02,SUI,40,30,10,10,20,10,20
21,Assembly,S02,SUI_posture.csv,4,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.236345911,0.210832617,0.236345911,23.97285068,30.67385217,164,37.74486183,SUI,2023/07/26 2:40:39 PM MDT,S02,SUI,40,30,10,10,20,10,20
22,Assembly,S02,SUI_posture.csv,4,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.311767125,0.285696901,0.311767125,35.95927602,41.33910946,176,53.69495143,SUI,2023/07/26 2:40:39 PM MDT,S02,SUI,40,30,10,10,20,10,20
23,Assembly,S02,SUI_posture.csv,4,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.048717476,0.073345721,0.048717476,29.96606335,29.38891856,168,45.72850089,SUI,2023/07/26 2:40:39 PM MDT,S02,SUI,40,30,10,10,20,10,20
24,Assembly,S02,SGP_posture.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.243773699,0.283409303,0.243773699,98.90060241,93.26331808,225,138.7953315,SGP,2023/07/26 2:40:14 PM MDT,S02,SGP,10,10,20,20,10,10,13.33333333
25,Assembly,S02,SGP_posture.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.124032635,0.117494137,0.124032635,23.97590361,39.91253743,179,37.5907715,SGP,2023/07/26 2:40:14 PM MDT,S02,SGP,10,10,20,20,10,10,13.33333333
26,Assembly,S02,SGP_posture.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.148087175,0.146723553,0.148087175,35.96385542,51.66989989,197,53.3782666,SGP,2023/07/26 2:40:14 PM MDT,S02,SGP,10,10,20,20,10,10,13.33333333
27,Assembly,S02,SGP_posture.csv,1,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.035411792,0.041608584,0.035411792,29.96987952,40.31008795,169,45.50037771,SGP,2023/07/26 2:40:14 PM MDT,S02,SGP,10,10,20,20,10,10,13.33333333
