dataset,participant,task,step_size,ablation,landmarks,RMSD,mean_motion,std_motion,mean_T2,std_T2,warnings,UCL
Assembly,S02,SGP_posture.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.24377369937958002,0.28340930258132424,0.24377369937958002,98.90060241138316,93.26331808209167,225,138.7953314532176
Assembly,S02,SGP_posture.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.12403263491568087,0.1174941368610715,0.12403263491568087,23.9759036144559,39.912537429943825,179,37.59077149852004
Assembly,S02,SGP_posture.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.14808717491526868,0.1467235532570592,0.14808717491526868,35.963855421684556,51.66989988851476,197,53.378266600608065
Assembly,S02,SGP_posture.csv,1,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.035411791935326356,0.041608584288925006,0.035411791935326356,29.969879518075217,40.31008795307348,169,45.50037770751274
Assembly,S02,SGP_posture.csv,2,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.3477225065506995,0.4320227640596096,0.3477225065506995,98.90050247341784,79.51661609623707,227,138.81289583837892
Assembly,S02,SGP_posture.csv,2,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.17056949680070183,0.17632719892494045,0.17056949680070183,23.975879396983295,34.14338526299508,180,37.59198915143268
Assembly,S02,SGP_posture.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.20695102678399288,0.22141972992681755,0.20695102678399288,35.96381909547493,44.84657232146275,202,53.38076470164956
Assembly,S02,SGP_posture.csv,2,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.04609470930753097,0.06441507820891486,0.04609470930753097,29.96984924622255,34.19514740000866,168,45.50217880007282
Assembly,S02,SGP_posture.csv,4,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.4718334010128917,0.6246476922999582,0.4718334010128917,98.90030203371009,67.10042041539049,216,138.848143739443
Assembly,S02,SGP_posture.csv,4,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.21812516626397258,0.25131339930737684,0.21812516626397258,23.975830815710534,28.923307297630895,183,37.59443203911439
Assembly,S02,SGP_posture.csv,4,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.2686368528506168,0.3177111512358611,0.2686368528506168,35.96374622355782,38.77025581108241,212,53.3857766697983
Assembly,S02,SGP_posture.csv,4,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.05866328718376076,0.09104030717859321,0.05866328718376076,29.969788519627127,29.761098605859978,161,45.50579227588832
Assembly,S02,LUP_posture.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.5091761882525173,0.6070686876060083,0.5091761882525173,98.88115246714595,96.32709294673593,210,142.29835547046108
Assembly,S02,LUP_posture.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.197897542028547,0.1762378832139877,0.197897542028547,23.97118847538229,47.735344747728064,131,37.829260032468504
Assembly,S02,LUP_posture.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.2358255148215438,0.22566933909133075,0.2358255148215438,35.95678271307251,57.51517799645385,161,53.86888335599034
Assembly,S02,LUP_posture.csv,1,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.2430777031984406,0.22747733280132937,0.2430777031984406,29.963985594243617,45.07909440258968,166,45.85361963042645
Assembly,S02,LUP_posture.csv,2,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.7592866840649882,0.9589360347082425,0.7592866840649882,98.88100962582524,82.85100250791629,215,142.32471656223652
Assembly,S02,LUP_posture.csv,2,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.2903825825000067,0.28026931801338617,0.2903825825000067,23.97115384615494,39.97925801536898,154,37.83102211456426
Assembly,S02,LUP_posture.csv,2,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.3495141063418352,0.36227542030782806,0.3495141063418352,35.956730769242235,48.910923706171204,179,53.87251835226596
Assembly,S02,LUP_posture.csv,2,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.327830118875796,0.341110070368457,0.327830118875796,29.963942307704674,37.77099676378905,177,45.85623317771358
Assembly,S02,LUP_posture.csv,4,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",1.12201368448481,1.489514647239138,1.12201368448481,98.88072288026595,71.67817472523407,203,142.37765789387237
Assembly,S02,LUP_posture.csv,4,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.42076019742538545,0.4464459779178354,0.42076019742538545,23.971084337362893,35.06836570927676,165,37.83455948413522
Assembly,S02,LUP_posture.csv,4,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.5138032012576266,0.5821826143868609,0.5138032012576266,35.9566265060549,42.90728990436959,191,53.87981603252955
Assembly,S02,LUP_posture.csv,4,lower_body,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.4229294919519124,0.48298047413081874,0.4229294919519124,29.963855421708857,33.215972796704534,189,45.86148001853352
Assembly,S02,LGP_posture.csv,1,full,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",0.5122047851162878,0.6164676173434651,0.5122047851162878,98.89708940652757,98.03795420551037,237,139.41560685980238
Assembly,S02,LGP_posture.csv,1,hands_only,"[15, 16, 17, 18, 19, 20, 21, 22]",0.16949155706540206,0.1542080632064659,0.16949155706540206,23.975051975048565,48.644047764751676,157,37.63363663123595
Assembly,S02,LGP_posture.csv,1,upper_body,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.2088110496184013,0.20443629494691096,0.2088110496184013,35.96257796257761,60.68754217098911,193,53.46624966205022
